SKU,DC,COST
491802,401,3094
427979,401,1559
454348,401,3119
446726,401,2665
423809,401,2338
428533,401,2298
430813,401,1925
416233,401,1600
420745,401,1559.5
451969,401,4220
409245,401,2665
424074,401,2298
424041,401,1107.5
402399,401,2010
451731,401,1846
409296,401,4350
454259,401,1310
427995,401,1025
428593,401,1970
428029,401,1395
454429,401,2051.5
416243,401,1148
423443,401,1640
428003,401,1436
401343,401,1808
427987,401,1970
423795,401,1723
454275,401,2010
453971,401,2955
416268,401,1640
423787,401,1395
454267,401,1231
427594,401,3693
491811,401,3413
454305,401,2500
409253,401,2665
454373,401,2527
451723,401,1231
409271,401,3115
401351,401,1302
453602,401,3280
429327,401,2667.5
470767,401,3320
422993,401,1928.5
428525,401,1805
428045,401,2295
430805,401,1160
430823,401,2460
401449,401,1518
451713,401,3131
451748,401,2339.2
428606,401,2339
423019,401,2339
428012,401,1764
423452,401,2460
454412,401,1395
465579,401,2460
454364,401,1994.6
401423,401,1108
424083,401,1805.65
402403,401,1257
416284,401,2540
423061,401,1190
454283,401,1846
429319,401,3775
402382,401,2420
428584,401,1100
454293,401,2665
454054,401,4474
427962,401,1190
420737,401,2832
416251,401,2010
406015,401,4100
420729,401,2257
423434,401,2123
416276,401,2130
401368,401,2380
428037,401,1846
454437,401,2585
428517,401,1354
401432,401,1888
